file	speech	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	gender	coder	ID					
B-12_13_pass1__145_37.wav	CDS	205.5791153	118.4032619	324.0104164	52.36797458	205.6071546	0	0	0	1	0	1	0	0	0	13	FEMALE	giselle	B12					
B-13_10_pass1__34_1.wav	CDS	240.5994933	102.0903616	431.7419029	60.20761302	329.6515413	1	0	0	0	0	0	0	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_10.wav	CDS	233.6630054	180.6274764	312.5608102	27.05489713	131.9333338	0	0	0	1	0	0	0	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_14.wav	CDS	224.7230513	140.1524207	434.4466554	56.69506943	294.2942348	0	0	0	1	0	0	0	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_16.wav	CDS	181.5251518	160.135851	284.0809588	16.47543199	123.9451078	0	0	0	0	0	0	1	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_7.wav	CDS	244.4788269	197.1981433	297.4192705	30.42768499	100.2211273	0	0	0	1	0	0	0	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_8.wav	CDS	257.4399507	178.077464	359.6621811	48.82163528	181.5847171	0	0	0	1	0	0	0	0	0	10	FEMALE	giselle	B13					
B-13_10_pass1__34_9.wav	CDS	283.3573275	238.3749267	331.594633	21.27751107	93.21970628	0	0	0	1	0	0	0	0	0	10	FEMALE	giselle	B13					
B-14_13_pass1__1062_15.wav	CDS	170.022678	104.6403064	282.0689909	43.10533808	177.4286845	0	0	0	0	0	0	0	0	1	13	FEMALE	giselle	B14					
B-14_13_pass1__1062_3.wav	CDS	179.9264708	152.5762509	243.8600158	19.48626162	91.28376493	0	0	0	0	0	0	0	0	0	13	FEMALE	giselle	B14					
B-15_06_pass1__983_1.wav	ADS	137.0545908	98.15219382	261.3752092	29.49897448	163.2230154	0	0	0	1	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_12.wav	ADS	184.2661362	142.4190701	275.0884181	22.8723301	132.669348	0	0	0	1	0	0	1	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_14.wav	ADS	154.7825178	99.53790617	225.6665004	31.68303416	126.1285943	1	0	0	0	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_16.wav	ADS	134.1551249	99.21121337	239.2666466	23.72578086	140.0554333	0	0	0	1	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_18.wav	ADS	163.5455229	96.67850709	295.1454412	50.46429938	198.4669341	0	0	0	1	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_20.wav	ADS	212.2530543	150.0821914	307.8889013	41.86168591	157.8067099	1	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_22.wav	ADS	236.6792566	184.2573096	365.0508181	42.15811328	180.7935084	0	0	0	0	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_23.wav	CDS	127.0930879	96.00694548	182.2768918	21.63162203	86.26994628	0	0	0	0	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_25.wav	CDS	165.3070891	121.6895246	293.8120058	29.90686458	172.1224812	0	0	0	1	0	0	1	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_27.wav	CDS	177.3870783	121.837373	323.9462863	32.78490708	202.1089133	1	0	0	0	0	0	1	0	0	6	MALE	giselle	B15					
