"speech_register","seg_id","m","min_pit","max_pit","sd_pit","range_pit"
"IDS","B-01_06_pass1_295_31",270.761475355705,205.77861008548,519.81451862906,60.2740014516453,314.035908543581
"IDS","B-01_06_pass1_295_36",200.922272913112,163.95434999,236.48281617964,16.5343915923226,72.5284661896404
"IDS","B-01_06_pass1_295_38",274.683030039222,201.710734683254,456.906095202166,49.9024174623747,255.195360518912
"IDS","B-01_06_pass1_295_43",291.44952809171,128.968610350376,381.977685796464,69.920107262777,253.009075446088
"IDS","B-01_06_pass1_295_52",273.967988977484,159.12666379984,439.157688971674,74.9912434058695,280.031025171834
"IDS","B-01_06_pass1_295_53",150.025185595507,127.563977524874,179.348924506431,10.3193544558402,51.7849469815568
"IDS","B-01_06_pass1_295_55",182.661544272804,141.115164295362,241.253181139054,18.4879422375047,100.138016843692
"IDS","B-01_06_pass1_295_8",218.295525837166,116.082663196667,301.430339147271,36.021405369413,185.347675950604
"IDS","B-01_06_pass1_345_11",233.266589530805,140.103802492122,320.743045134142,40.9673655549771,180.639242642021
"IDS","B-01_06_pass1_345_13",221.329142840729,139.356094455961,331.972306092503,36.350587857009,192.616211636541
"IDS","B-01_06_pass1_345_16",359.158522657921,179.38810197641,484.378943096534,72.499978381101,304.990841120124
"IDS","B-01_06_pass1_345_17",238.458729022042,150.294314572709,295.12898462356,29.2024128282574,144.834670050851
"IDS","B-01_06_pass1_345_20",221.727738518947,118.728011999251,343.759383333395,46.8156724864858,225.031371334144
"IDS","B-01_06_pass1_345_25",248.416090086187,180.950051805992,287.009110656815,23.0451271348995,106.059058850823
"IDS","B-01_06_pass1_345_26",232.112942647065,189.248684204716,244.120737735082,11.7040766037403,54.8720535303661
"IDS","B-01_06_pass1_345_27",247.830089865667,196.141276146138,356.399222782495,34.1114767714453,160.257946636356
"IDS","B-01_06_pass1_345_29",214.424923571573,196.637761317366,258.320446080703,14.4616715452251,61.6826847633367
"IDS","B-01_06_pass1_345_33",186.517457969076,155.703765042978,221.92666576299,13.970856419546,66.2229007200124
"IDS","B-01_06_pass1_345_4",207.265916515143,175.423818763193,281.036599302574,31.4339921518095,105.61278053938
"IDS","B-01_06_pass1_345_9",188.460211093619,149.321346855002,200.623122640396,14.8507572722341,51.3017757853935
"IDS","B-01_06_pass1_358_12",187.145453010923,159.887449548919,263.741867704129,19.8264009678954,103.85441815521
"IDS","B-01_06_pass1_358_16",239.515200134145,148.032167318634,317.82227274336,39.776267690945,169.790105424726
"IDS","B-01_06_pass1_358_18",207.874102063394,155.087949677261,382.420874079898,67.533980114993,227.332924402637
"IDS","B-01_06_pass1_358_27",276.22234614027,140.152304129194,393.832313991976,45.6306580394786,253.680009862782
"IDS","B-01_06_pass1_358_41",219.088726592969,161.499373990228,328.107477360699,33.9070373461866,166.608103370471
"IDS","B-01_06_pass1_358_43",223.612420953176,161.372692775417,335.805358373567,43.8459294375669,174.43266559815
"IDS","B-01_06_pass1_358_47",187.158125521124,158.392889352837,249.399230952517,18.3497772866412,91.0063415996805
"IDS","B-01_06_pass1_358_50",246.456761846847,169.071727979966,439.160129994457,75.9463348989362,270.088402014491
"IDS","B-01_06_pass1_358_59",220.189515841458,194.905956322541,317.638315006544,21.8980067147435,122.732358684004
"IDS","B-01_06_pass1_358_61",160.590342476646,123.890200452511,225.595333319081,20.4679393188849,101.70513286657
"IDS","B-01_06_pass1_358_64",195.567389219933,136.810213693929,375.355034487482,34.7026698624116,238.544820793553
"IDS","B-01_06_pass1_358_66",235.141057466666,158.780249858851,298.147640770415,29.7263111456166,139.367390911564
"IDS","B-01_06_pass1_370_10",161.29070892477,99.1934343178664,248.4493367826,27.4849244194605,149.255902464734
"IDS","B-01_06_pass1_370_14",188.592815550931,139.634004790952,237.553053325255,29.8947059997152,97.9190485343028
"IDS","B-01_06_pass1_370_15",167.220661000136,101.089556419648,281.93636555792,30.2208795714765,180.846809138272
"IDS","B-01_06_pass1_370_23",171.084169995912,103.464834411489,239.835037258616,27.8962031849251,136.370202847127
"IDS","B-01_06_pass1_370_30",204.379608850179,100.275846593934,347.705843343735,51.8797688925653,247.429996749801
"IDS","B-01_06_pass1_370_32",150.591533171601,103.344281392314,254.46726438587,30.6908177690757,151.122982993555
"IDS","B-01_06_pass1_370_38",147.959396661438,119.670923230573,180.235247033278,17.6789247632987,60.5643238027054
"IDS","B-01_06_pass1_370_61",159.968414695275,133.011842855406,210.581257125371,20.9438937398484,77.5694142699654
"IDS","B-01_06_pass1_370_8",184.891841742029,138.222603368891,383.666281362508,42.0181640138938,245.443677993617
"IDS","B-01_06_pass1_416_1",160.652774548589,118.79516953373,218.539930944017,31.4137036299052,99.744761410287
"IDS","B-01_06_pass1_416_38",261.043548943326,187.05468622499,337.283101946193,30.8708956474487,150.228415721203
"IDS","B-01_06_pass1_416_4",153.17716089998,119.350855749489,183.071468052547,18.6189029771293,63.7206123030575
"IDS","B-01_06_pass1_416_6",165.872607682372,122.331401073548,201.660900192755,17.4532092446774,79.3294991192072
"IDS","B-01_06_pass1_467_13",175.269249901888,145.467651117361,224.473382692036,20.8512422137542,79.0057315746743
"IDS","B-01_06_pass1_467_15",169.33920576455,140.316153446705,216.98119011992,14.2936283405476,76.6650366732147
"IDS","B-01_06_pass1_467_17",169.062658161026,154.551771709967,212.852171620785,12.8265658163033,58.3003999108181
"IDS","B-01_06_pass1_467_19",160.958939334349,103.92585566475,216.333455643091,21.1155623882507,112.40759997834
"IDS","B-01_06_pass1_467_21",140.612123147231,110.157129357187,200.546595584312,20.0345293353715,90.3894662271251
"IDS","B-01_06_pass1_467_23",150.511525466817,110.086250264887,194.897909754153,19.7095352447744,84.8116594892661
"IDS","B-01_06_pass1_467_25",145.723121286207,118.921669922118,179.624060883547,15.3763480407694,60.7023909614283
"IDS","B-01_06_pass1_467_27",147.25062885112,106.117473055423,282.245109746917,30.2308396572953,176.127636691494
"IDS","B-01_06_pass1_467_30",193.06761245357,134.099416928648,401.157063111349,68.8280237440176,267.057646182701
"IDS","B-01_06_pass1_467_33",215.38073552763,175.210468717976,257.345811752235,21.0188052528768,82.1353430342594
"IDS","B-01_06_pass1_467_35",247.851370459301,173.585450037336,339.545583587943,38.4949591607483,165.960133550607
"IDS","B-01_06_pass1_467_36",191.10195819864,158.6982926097,268.524743851777,23.7237539666817,109.826451242077
"IDS","B-01_06_pass1_467_39",168.725610080209,128.615698007832,461.873127864669,35.8742896742498,333.257429856837
"IDS","B-01_06_pass1_467_43",198.909059862092,146.825794130888,260.496916133478,18.9545213856971,113.67112200259
"IDS","B-01_06_pass1_467_45",168.069837727011,132.267889762043,219.243385552753,18.0052672147171,86.9754957907101
"IDS","B-01_06_pass1_467_46",167.761074987545,146.14679366104,193.074881614636,9.96133508598582,46.9280879535954
"IDS","B-01_06_pass1_467_48",207.123632402409,129.053950424901,340.017200037434,58.1866151462158,210.963249612533
"IDS","B-01_06_pass1_467_50",150.345975332467,121.886573892277,225.124871570607,20.0431669851594,103.23829767833
"IDS","B-01_06_pass1_467_52",131.066481397233,117.618737000723,170.671908305194,10.8087716373154,53.0531713044707
"IDS","B-01_06_pass1_467_54",143.5764199257,118.125854758574,259.349668562412,26.6685626173267,141.223813803838
"IDS","B-01_06_pass1_467_60",203.873219612822,173.503072395412,261.628786698731,16.7736099912768,88.1257143033193
"IDS","B-01_06_pass1_467_63",222.592728391512,159.485778157715,566.052611526954,108.470951366912,406.56683336924
"IDS","B-01_06_pass1_467_65",201.819328552192,156.892099844898,246.706865551821,19.5618749707303,89.8147657069226
"IDS","B-01_06_pass1_467_8",193.127917120709,139.546001997839,249.99103792988,24.1626930521376,110.445035932041
"IDS","B-01_06_pass1_535_13",315.180580398794,245.374049231871,461.930309415608,34.206915680992,216.556260183737
