file	register	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	adu_gender	coder	ID	chi_gender									
M-103-010723_pass1_736_29	IDS	248.691708	184.021411	279.999153	23.5976627	95.9777414	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_3	IDS	186.262401	119.950446	276.157315	38.7605794	156.206869	1	0	0	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_30	IDS	258.477672	176.92001	341.055915	37.702521	164.135905	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_31	IDS	245.037625	221.758613	281.350639	21.4212021	59.592026	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_32	IDS	263.946049	235.483905	336.473429	20.6080836	100.989524	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_33	IDS	257.338129	197.113184	322.353844	24.9338073	125.24066	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_34	IDS	261.007519	251.852792	270.920786	7.24462154	19.067994	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_35	IDS	261.962541	215.992885	326.745444	20.0485071	110.752559	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_37	IDS	266.440542	196.671013	386.831039	62.2194408	190.160025	0	0	0	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_39	IDS	212.812838	188.176405	260.862663	16.7318891	72.686258	0	0	0	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_41	IDS	251.116025	170.289874	300.795731	33.3698483	130.505857	0	0	1	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_43	IDS	206.902519	142.515503	260.019591	27.3174906	117.504088	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_45	IDS	224.719936	158.764815	251.85724	24.835254	93.0924254	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_46	IDS	266.812963	251.156361	285.424197	10.2066622	34.2678354	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_47	IDS	243.416024	152.007341	363.330565	34.6566051	211.323223	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_49	IDS	200.625613	158.508304	303.882046	28.5903303	145.373742	1	0	0	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_5	IDS	258.518263	221.451588	283.027323	19.8047173	61.575735	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
